ID_Cliente,Tem_carro,Tem_casa_propria,Tem_telefone_trabalho,Tem_telefone_fixo,Tem_email,Tamanho_familia,Rendimento_anual,Idade,Anos_empregado,Categoria_de_renda,Grau_escolaridade,Estado_civil,Moradia,Ocupacao,Mau
5008806,1,1,0,0,0,2.0,112500.0,58.79381506807121,3.1047865459249677,Empregado,Ensino médio,Casado,Casa/apartamento próprio,Segurança,0
5008810,0,1,0,1,1,1.0,270000.0,52.32140290355038,8.353354278321937,Associado comercial,Ensino médio,Solteiro,Casa/apartamento próprio,Vendas,0
5008811,0,1,0,1,1,1.0,270000.0,52.32140290355038,8.353354278321937,Associado comercial,Ensino médio,Solteiro,Casa/apartamento próprio,Vendas,0
5008812,0,1,0,0,0,1.0,283500.0,61.504343004989835,0.0,Pensionista,Ensino superior,Divorciado,Casa/apartamento próprio,Outro,0
5008813,0,1,0,0,0,1.0,283500.0,61.504343004989835,0.0,Pensionista,Ensino superior,Divorciado,Casa/apartamento próprio,Outro,0
5008814,0,1,0,0,0,1.0,283500.0,61.504343004989835,0.0,Pensionista,Ensino superior,Divorciado,Casa/apartamento próprio,Outro,0
5112956,1,1,1,1,1,2.0,270000.0,46.1939670219101,2.1054504883741623,Empregado,Ensino superior,Casado,Casa/apartamento próprio,Contabilidade,0
5008825,1,0,0,0,0,2.0,130500.0,29.210729857560388,3.019911428708324,Empregado,Ensino superior incompleto,Casado,Casa/apartamento próprio,Contabilidade,0
5008826,1,0,0,0,0,2.0,130500.0,29.210729857560388,3.019911428708324,Empregado,Ensino superior incompleto,Casado,Casa/apartamento próprio,Contabilidade,0
5008830,0,1,0,1,0,2.0,157500.0,27.463945187101718,4.021985393266117,Empregado,Ensino médio,Casado,Casa/apartamento próprio,Construção Civil,0
5008831,0,1,0,1,0,2.0,157500.0,27.463945187101718,4.021985393266117,Empregado,Ensino médio,Casado,Casa/apartamento próprio,Construção Civil,0
5008832,0,1,0,1,0,2.0,157500.0,27.463945187101718,4.021985393266117,Empregado,Ensino médio,Casado,Casa/apartamento próprio,Construção Civil,0
5008834,0,1,0,0,0,2.0,112500.0,30.02936405264995,4.435409351321383,Empregado,Ensino médio,Solteiro,Casa/apartamento próprio,Outro,0
5008835,0,1,0,0,0,2.0,112500.0,30.02936405264995,4.435409351321383,Empregado,Ensino médio,Solteiro,Casa/apartamento próprio,Outro,0
5008836,1,1,0,0,0,5.0,270000.0,34.74130201167717,3.1841858491276342,Empregado,Ensino médio,Casado,Casa/apartamento próprio,Construção Civil,0
5008837,1,1,0,0,0,5.0,270000.0,34.74130201167717,3.1841858491276342,Empregado,Ensino médio,Casado,Casa/apartamento próprio,Construção Civil,0
5008838,0,1,0,0,0,3.0,405000.0,32.42229477675791,5.519620526088831,Associado comercial,Ensino superior,Casado,Casa/apartamento próprio,Gerência,0
5008839,0,1,0,0,0,3.0,405000.0,32.42229477675791,5.519620526088831,Associado comercial,Ensino superior,Casado,Casa/apartamento próprio,Gerência,0
5008840,0,1,0,0,0,3.0,405000.0,32.42229477675791,5.519620526088831,Associado comercial,Ensino superior,Casado,Casa/apartamento próprio,Gerência,0
5008843,0,1,0,0,0,3.0,405000.0,32.42229477675791,5.519620526088831,Associado comercial,Ensino superior,Casado,Casa/apartamento próprio,Gerência,0
5008844,1,1,0,1,0,2.0,112500.0,56.132569457278386,12.183686181098858,Associado comercial,Ensino médio,Casado,Casa/apartamento próprio,Motorista,0
5008847,1,1,0,1,0,2.0,112500.0,56.132569457278386,12.183686181098858,Associado comercial,Ensino médio,Casado,Casa/apartamento próprio,Motorista,0
5008850,1,1,0,1,0,2.0,112500.0,56.132569457278386,12.183686181098858,Associado comercial,Ensino médio,Casado,Casa/apartamento próprio,Motorista,0
5008853,1,1,0,1,0,2.0,112500.0,56.132569457278386,12.183686181098858,Associado comercial,Ensino médio,Casado,Casa/apartamento próprio,Motorista,0
5008855,1,1,0,0,0,4.0,135000.0,43.15215233714587,8.687378933174534,Empregado,Ensino médio,Casado,Casa/apartamento próprio,Construção Civil,0
5008857,1,1,0,0,0,4.0,135000.0,43.15215233714587,8.687378933174534,Empregado,Ensino médio,Casado,Casa/apartamento próprio,Construção Civil,0
5008868,0,1,0,0,0,3.0,211500.0,44.38694839729769,19.436401842611414,Servidor público,Ensino médio,União-estável,Casa/apartamento próprio,Equipe principal,0
5008873,0,1,0,0,1,4.0,126000.0,33.98016386373437,4.854309123390624,Associado comercial,Ensino superior,Casado,Casa/apartamento próprio,Gerência,0
5008874,0,1,0,0,1,4.0,126000.0,33.98016386373437,4.854309123390624,Associado comercial,Ensino superior,Casado,Casa/apartamento próprio,Gerência,0
5008875,0,1,0,0,1,4.0,126000.0,33.98016386373437,4.854309123390624,Associado comercial,Ensino superior,Casado,Casa/apartamento próprio,Gerência,0
5008876,0,1,0,0,1,4.0,126000.0,33.98016386373437,4.854309123390624,Associado comercial,Ensino superior,Casado,Casa/apartamento próprio,Gerência,0
5008879,0,1,0,0,1,4.0,126000.0,33.98016386373437,4.854309123390624,Associado comercial,Ensino superior,Casado,Casa/apartamento próprio,Gerência,0
5008881,0,1,0,0,1,4.0,126000.0,33.98016386373437,4.854309123390624,Associado comercial,Ensino superior,Casado,Casa/apartamento próprio,Gerência,0
5008882,0,1,0,0,1,4.0,126000.0,33.98016386373437,4.854309123390624,Associado comercial,Ensino superior,Casado,Casa/apartamento próprio,Gerência,0
5008884,0,1,0,0,0,1.0,315000.0,55.26739084307001,0.0,Pensionista,Ensino médio,Viúvo,Casa/apartamento próprio,Outro,0
5008892,0,1,0,0,0,1.0,297000.0,42.48957884145465,8.854391260600833,Associado comercial,Ensino médio,Solteiro,Apartamento alugado,Construção Civil,0
5008893,0,1,0,0,0,1.0,297000.0,42.48957884145465,8.854391260600833,Associado comercial,Ensino médio,Solteiro,Apartamento alugado,Construção Civil,0
5008894,0,1,0,0,0,1.0,297000.0,42.48957884145465,8.854391260600833,Associado comercial,Ensino médio,Solteiro,Apartamento alugado,Construção Civil,0
5008895,0,1,0,0,0,1.0,297000.0,42.48957884145465,8.854391260600833,Associado comercial,Ensino médio,Solteiro,Apartamento alugado,Construção Civil,0
5008896,0,1,0,0,0,1.0,297000.0,42.48957884145465,8.854391260600833,Associado comercial,Ensino médio,Solteiro,Apartamento alugado,Construção Civil,0
